package_pin,side,slot,function,direction,cell,rtl_signal,instance
P38,east,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[24],u_gpio_pads[24].u_pad
P39,east,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[25],u_gpio_pads[25].u_pad
P40,east,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[26],u_gpio_pads[26].u_pad
P41,east,9,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[2].u_pad
P42,east,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[27],u_gpio_pads[27].u_pad
P43,east,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[28],u_gpio_pads[28].u_pad
P44,east,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[29],u_gpio_pads[29].u_pad
P45,east,13,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[2].u_pad
P46,east,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[30],u_gpio_pads[30].u_pad
P47,east,15,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[31],u_gpio_pads[31].u_pad
P48,east,16,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[32],u_gpio_pads[32].u_pad
P49,east,17,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[3].u_pad
P50,east,18,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[33],u_gpio_pads[33].u_pad
P51,east,19,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[34],u_gpio_pads[34].u_pad
P52,east,20,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[35],u_gpio_pads[35].u_pad
P53,east,21,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[3].u_pad
P54,east,22,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[36],u_gpio_pads[36].u_pad
P55,east,23,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[37],u_gpio_pads[37].u_pad
P56,east,24,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[38],u_gpio_pads[38].u_pad
P57,east,25,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[3].u_pad
P58,east,26,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[39],u_gpio_pads[39].u_pad
P59,east,27,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[40],u_gpio_pads[40].u_pad
P60,east,28,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[41],u_gpio_pads[41].u_pad
P61,east,29,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[3].u_pad
P62,east,30,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[42],u_gpio_pads[42].u_pad
P63,east,31,jtag_tms,input,sg13g2_IOPadIn,jtag_tms_i,u_jtag_tms_pad
P64,east,32,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[43],u_gpio_pads[43].u_pad
P65,north,1,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[4].u_pad
P66,north,2,jtag_tdi,input,sg13g2_IOPadIn,jtag_tdi_i,u_jtag_tdi_pad
P67,north,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[44],u_gpio_pads[44].u_pad
P68,north,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[45],u_gpio_pads[45].u_pad
P69,north,5,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[4].u_pad
P70,north,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[46],u_gpio_pads[46].u_pad
P71,north,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[47],u_gpio_pads[47].u_pad
P72,north,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[48],u_gpio_pads[48].u_pad
P73,north,9,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[4].u_pad
P74,north,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[49],u_gpio_pads[49].u_pad
P75,north,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[50],u_gpio_pads[50].u_pad
P76,north,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[51],u_gpio_pads[51].u_pad
P77,north,13,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[4].u_pad
P78,north,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[52],u_gpio_pads[52].u_pad
P79,north,15,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[53],u_gpio_pads[53].u_pad
P80,north,16,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[54],u_gpio_pads[54].u_pad
P81,north,17,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[5].u_pad
P82,north,18,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[55],u_gpio_pads[55].u_pad
P83,north,19,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[56],u_gpio_pads[56].u_pad
P84,north,20,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[57],u_gpio_pads[57].u_pad
P85,north,21,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[5].u_pad
P86,north,22,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[58],u_gpio_pads[58].u_pad
P87,north,23,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[59],u_gpio_pads[59].u_pad
P88,north,24,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[60],u_gpio_pads[60].u_pad
P89,north,25,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[5].u_pad
P90,north,26,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[61],u_gpio_pads[61].u_pad
P91,north,27,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[62],u_gpio_pads[62].u_pad
P92,north,28,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[63],u_gpio_pads[63].u_pad
P93,north,29,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[5].u_pad
P94,north,30,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[64],u_gpio_pads[64].u_pad
P95,north,31,jtag_tdo,output,sg13g2_IOPadOut30mA,jtag_tdo_o,u_jtag_tdo_pad
P96,north,32,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[65],u_gpio_pads[65].u_pad
P97,west,1,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[6].u_pad
P98,west,2,uart_rx,input,sg13g2_IOPadIn,uart_rx_i,u_uart_rx_pad
P99,west,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[66],u_gpio_pads[66].u_pad
P100,west,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[67],u_gpio_pads[67].u_pad
P101,west,5,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[6].u_pad
P102,west,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[68],u_gpio_pads[68].u_pad
P103,west,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[69],u_gpio_pads[69].u_pad
P104,west,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[70],u_gpio_pads[70].u_pad
P105,west,9,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[6].u_pad
P106,west,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[71],u_gpio_pads[71].u_pad
P107,west,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[72],u_gpio_pads[72].u_pad
P108,west,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[73],u_gpio_pads[73].u_pad
P109,west,13,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[6].u_pad
P110,west,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[74],u_gpio_pads[74].u_pad
P111,west,15,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[75],u_gpio_pads[75].u_pad
P112,west,16,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[76],u_gpio_pads[76].u_pad
P113,west,17,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[7].u_pad
P114,west,18,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[77],u_gpio_pads[77].u_pad
P115,west,19,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[78],u_gpio_pads[78].u_pad
P116,west,20,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[79],u_gpio_pads[79].u_pad
P117,west,21,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[7].u_pad
P118,west,22,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[80],u_gpio_pads[80].u_pad
P119,west,23,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[81],u_gpio_pads[81].u_pad
P120,west,24,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[82],u_gpio_pads[82].u_pad
P121,west,25,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[7].u_pad
P122,west,26,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[83],u_gpio_pads[83].u_pad
P123,west,27,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[84],u_gpio_pads[84].u_pad
P124,west,28,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[85],u_gpio_pads[85].u_pad
P125,west,29,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[7].u_pad
P126,west,30,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[86],u_gpio_pads[86].u_pad
P127,west,31,uart_tx,output,sg13g2_IOPadOut30mA,uart_tx_o,u_uart_tx_pad
P128,west,32,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[87],u_gpio_pads[87].u_pad
